match_id,map_index,map_name,team1_score,team2_score,winner_side,winner_team_id,winner_team_name,fetched_at
csgo_mc_2374724,1,Dust2,8,13,t2,csgo_tm_6667,FaZe,2026-04-22 15:11:06
csgo_mc_2374724,2,Ancient,8,13,t2,csgo_tm_6667,FaZe,2026-04-22 15:11:06
csgo_mc_2374725,1,Vertigo,13,10,t1,csgo_tm_11283,Falcons,2026-04-22 15:11:06
csgo_mc_2374725,2,Mirage,13,6,t1,csgo_tm_11283,Falcons,2026-04-22 15:11:06
csgo_mc_2374726,1,Nuke,14,16,t2,csgo_tm_7900,Spirit.A,2026-04-22 15:11:35
csgo_mc_2374727,1,Nuke,13,8,t1,csgo_tm_11241,B8,2026-04-22 15:11:35
csgo_mc_2374728,1,Ancient,13,1,t1,hltv_team_12467,PARIVISION,2026-04-22 15:11:35
csgo_mc_2374729,1,Inferno,10,13,t2,csgo_tm_10503,OG,2026-04-22 15:11:35
csgo_mc_2374730,1,Ancient,8,13,t2,csgo_tm_4991,FNC,2026-04-22 15:11:35
csgo_mc_2374731,1,Ancient,16,12,t1,csgo_tm_11571,Gaimin Gladiators,2026-04-22 15:11:35
csgo_mc_2374732,1,Mirage,13,11,t1,csgo_tm_11312,QUAZAR,2026-04-22 15:11:35
csgo_mc_2374733,1,Ancient,19,17,t1,csgo_tm_11581,HOTU,2026-04-22 15:11:35
csgo_mc_2374734,1,Nuke,13,8,t1,csgo_tm_11241,B8,2026-04-22 15:11:34
csgo_mc_2374735,1,Nuke,7,13,t2,csgo_tm_10503,OG,2026-04-22 15:11:34
csgo_mc_2374736,1,Ancient,16,12,t1,csgo_tm_4991,FNC,2026-04-22 15:11:34
csgo_mc_2374737,1,Mirage,13,8,t1,csgo_tm_11312,QUAZAR,2026-04-22 15:11:34
csgo_mc_2374738,1,Inferno,16,14,t1,csgo_tm_10503,OG,2026-04-22 15:11:34
csgo_mc_2374738,2,Ancient,13,10,t1,csgo_tm_10503,OG,2026-04-22 15:11:34
csgo_mc_2374739,1,Anubis,13,11,t1,csgo_tm_11312,QUAZAR,2026-04-22 15:11:34
csgo_mc_2374739,2,Ancient,3,13,t2,csgo_tm_4991,FNC,2026-04-22 15:11:34
csgo_mc_2374739,3,Vertigo,9,13,t2,csgo_tm_4991,FNC,2026-04-22 15:11:34
