player_id,metric,value,avg_value,lower_better,bad_start,bad_end,middle_start,middle_end,good_start,good_end
csgo_pl_19509,kpr,0.65,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19509,rating,1.05,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19509,swing,-0.07%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_23685,adr,73.3,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_23685,dpr,0.65,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_23685,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_23685,kast,73.6,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_23685,kpr,0.66,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_23685,rating,1.13,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_23685,swing,+1.01%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_13776,adr,70.6,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_13776,dpr,0.57,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_13776,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_13776,kast,72.7,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_13776,kpr,0.68,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_13776,rating,1.10,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_13776,swing,+1.29%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_22471,adr,69.3,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_22471,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_22471,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22471,kast,69.2,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_22471,kpr,0.62,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_22471,rating,1.01,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22471,swing,-0.40%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_19235,adr,65.5,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_19235,dpr,0.67,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19235,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19235,kast,68.8,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_19235,kpr,0.60,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_19235,rating,0.97,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19235,swing,-1.09%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_22929,adr,67.6,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_22929,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_22929,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22929,kast,70.2,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_22929,kpr,0.61,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_22929,rating,0.97,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22929,swing,-1.15%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_4679,adr,80.0,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_4679,dpr,0.62,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
