event_id,event_name,event_logo,grade,grade_label,special_grade_label,status,start_time,end_time,bonus,city_name,mode,cover
csgo_tt_7277,IEM 悉尼 2023 北美 封闭预选赛,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjarepsconkqks63ao10.png,6,资格赛B级,,past,2023-08-24 00:00:00,2023-08-26 23:59:59,晋级IEM 悉尼 2023,北美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7280,IEM 悉尼 2023 亚洲 封闭预选赛,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjares4conkqks63ao1g.png,6,资格赛B级,,past,2023-08-24 00:00:00,2023-08-25 23:59:59,晋级IEM 悉尼 2023,亚洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7344,PARI Dunav 派对 2023,https://oss.5eplay.com/sport/csgo/event/7344.png,4,B级赛事,,past,2023-08-24 18:00:00,2023-08-28 18:00:00,"$50,000",塞尔维亚，贝尔格莱德,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7266,Skyesports Masters 2023 决赛,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjk0etkconkqks63b0ig.png,4,B级赛事,,past,2023-08-26 00:00:00,2023-08-27 23:59:59,"$146,032",印度，班加罗尔,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7349,PGE 波兰 超级杯电竞联赛 2023,https://oss.5eplay.com/sport/csgo/event/7349.png,4,B级赛事,,past,2023-08-26 00:00:00,2023-08-27 23:59:59,"$20,000",波兰，格但斯克,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7347,5E对战平台2023亚洲杯-BLAST Premier 秋季showdown亚洲区预选赛,https://oss.5eplay.com/sport/csgo/event/7347.png,3,A级赛事,A级赛事,past,2023-08-26 18:00:00,2023-08-28 18:00:00,晋级,亚洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7248,IESF 世界锦标赛 2023,https://oss.5eplay.com/sport/csgo/event/7248.png,4,B级赛事,,past,2023-08-28 00:00:00,2023-09-03 23:59:59,"$100,000",罗马尼亚，雅西,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7362,PWA Premier League S5,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjm6il4conkqks63b1f0.png,3,A级赛事,A级赛事,past,2023-08-29 00:00:00,2023-09-03 23:59:59,"$37,770",亚洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_6863,ESL Pro League S18,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/ck16arsconkqks63be00.png,7,S+赛事,S+赛事,past,2023-08-30 18:00:00,2023-10-01 23:00:00,$850000,马耳他,2,https://oss.5eplay.com/sport/csgo/tournament/cfqr1cpll806h1bg252g.png
csgo_tt_7333,TP 世界锦标赛 2023 欧洲 S2,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjs3q6kconkqks63b630.png,4,B级赛事,,past,2023-09-04 00:00:00,2023-09-18 23:59:59,"$25,000",欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7378,CCT 东欧系列赛 2 封闭预选赛,https://oss.5eplay.com/sport/csgo/event/7378.png,4,B级赛事,,past,2023-09-05 18:00:00,2023-09-09 18:00:00,晋级,欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
