team_id,team_name,region,team_logo,source,fetched_at
antic_esports,Antic Esports,PCS,https://static.lolesports.com/teams/1704949076455_AnticIcon1.png,lolesports,2026-05-01 18:31:47
impunity_esports,Impunity Esports,PCS,https://static.lolesports.com/teams/impunity.png,lolesports,2026-05-01 18:31:47
dewish_team,Dewish Team,PCS,https://static.lolesports.com/teams/1656308173484_DWT_Logo_W.png,lolesports,2026-05-01 18:31:47
six_karma,Six Karma,LTA,https://static.lolesports.com/teams/1705347064525_logo6k1-1.png,lolesports,2026-05-01 18:31:48
infinity,INFINITY,LTA,https://static.lolesports.com/teams/1631820471748_inf-2021-worlds.png,lolesports,2026-05-01 18:31:48
all_knights,All Knights,LTA,https://static.lolesports.com/teams/AK-Black-BG.png,lolesports,2026-05-01 18:31:48
isurus,Isurus,LTA,https://static.lolesports.com/teams/ISG.png,lolesports,2026-05-01 18:31:48
team_aze,Team Aze,LTA,https://static.lolesports.com/teams/1643739781349_AzeBlanco1.png,lolesports,2026-05-01 18:31:48
drx,DRX,LCK,,gol.gg,2026-05-01 18:38:42
nongshim_redforce,Nongshim RedForce,LCK,,gol.gg,2026-05-01 18:38:42
liiv_sandbox,Liiv SANDBOX,LCK,,gol.gg,2026-05-01 18:38:42
brion,BRION,LCK,,gol.gg,2026-05-01 18:38:42
kwangdong_freecs,Kwangdong Freecs,LCK,,gol.gg,2026-05-01 18:38:42
weibo_gaming,Weibo Gaming,LPL,,gol.gg,2026-05-01 18:38:46
tt,TT,LPL,,gol.gg,2026-05-01 18:38:46
team_we,Team WE,LPL,,gol.gg,2026-05-01 18:38:46
ninjas_in_pyjamas,Ninjas in Pyjamas,LPL,,gol.gg,2026-05-01 18:38:46
jd_gaming,JD Gaming,LPL,,gol.gg,2026-05-01 18:38:46
omg,OMG,LPL,,gol.gg,2026-05-01 18:38:46
lng_esports,LNG Esports,LPL,,gol.gg,2026-05-01 18:38:46
excel_esports,Excel Esports,LEC,,gol.gg,2026-05-01 18:38:49
mad_lions,MAD Lions,LEC,,gol.gg,2026-05-01 18:38:49
koi,KOI,LEC,,gol.gg,2026-05-01 18:38:49
team_bds,Team BDS,LEC,,gol.gg,2026-05-01 18:38:49
clg,CLG,LTA,,gol.gg,2026-05-01 18:39:00
evil_geniuses,Evil Geniuses,LTA,,gol.gg,2026-05-01 18:39:00
cloud9,Cloud9,LTA,,gol.gg,2026-05-01 18:39:00
immortals,Immortals,LTA,,gol.gg,2026-05-01 18:39:00
team_liquid,Team Liquid,LTA,,gol.gg,2026-05-01 18:39:00
los_grandes,Los Grandes,LTA,,gol.gg,2026-05-01 18:39:02
furia_esports,FURIA Esports,LTA,,gol.gg,2026-05-01 18:39:02
red_canids,RED Canids,LTA,,gol.gg,2026-05-01 18:39:02
intz_e_sports,INTZ e-Sports,LTA,,gol.gg,2026-05-01 18:39:02
kabum_e_sports,KaBuM! e-Sports,LTA,,gol.gg,2026-05-01 18:39:02
deep_cross_gaming,Deep Cross Gaming,PCS,,gol.gg,2026-05-01 18:39:04
hell_pigs,HELL PIGS,PCS,,gol.gg,2026-05-01 18:39:04
impunity,Impunity,PCS,,gol.gg,2026-05-01 18:39:04
sem9_wpe,SEM9 WPE,PCS,,gol.gg,2026-05-01 18:39:04
chief_esports_club,Chief Esports Club,PCS,,gol.gg,2026-05-01 18:39:11
saigon_buffalo,Saigon Buffalo,VCS,,gol.gg,2026-05-01 18:39:13
team_secret,Team Secret,VCS,,gol.gg,2026-05-01 18:39:13
team_flash,Team Flash,VCS,,gol.gg,2026-05-01 18:39:13
mgn_box_esports,MGN Box Esports,VCS,,gol.gg,2026-05-01 18:39:13
the_kings,The Kings,LTA,,gol.gg,2026-05-01 18:39:16
infinity_esports,Infinity eSports,LTA,,gol.gg,2026-05-01 18:39:16
