player_id,player_slug,player_name,team_abbrev,country,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_pct,cl_pct,clutches,kmax,kills,deaths,assists,first_kills,first_deaths,source,source_url,fetched_at
60037,samyyy,Samyyy,Bitf,DE,raze|chamber|waylay,265,1.37,297.6,1.49,74%,193.9,1.06,0.18,0.20,0.09,30%,8%,2/24,35,280,188,48,53,25,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
2252,anq,Anq,S8UL,RU,astra|omen|brimstone,394,1.33,232.4,1.42,80%,147.1,0.82,0.42,0.05,0.05,24%,17%,9/52,29,325,229,165,21,20,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
21435,jelly,Jelly,TLV,BR,yoru|neon,275,1.31,284.6,1.48,76%,177.2,0.99,0.22,0.24,0.13,28%,35%,6/17,28,273,185,61,66,35,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
63364,imvietnamesegirl,Imvietnamesegirl,,VN,omen|raze|phoenix,413,1.30,265.9,1.41,75%,175.7,0.94,0.25,0.13,0.05,26%,23%,10/44,33,388,276,105,53,19,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
37927,happywei,happywei,XLG,TW,viper|cypher|chamber,258,1.29,266.4,1.45,80%,176.0,0.92,0.29,0.14,0.08,37%,,,29,238,164,75,35,21,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
30286,karam1l,karam1l,AST,IN,killjoy|yoru|viper,387,1.29,252.2,1.40,74%,165.8,0.93,0.18,0.17,0.10,33%,18%,7/39,32,361,257,70,64,38,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
25255,primmie,primmie,FS,TH,phoenix|waylay|raze,205,1.27,267.7,1.31,75%,175.1,0.92,0.26,0.19,0.12,35%,40%,6/15,23,188,143,54,38,24,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
28716,lukxo,lukxo,LOUD,BR,viper|chamber|harbor,211,1.26,253.2,1.29,71%,163.0,0.90,0.29,0.16,0.10,27%,25%,8/32,24,190,147,61,34,22,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
56063,cakeo,cakeo,,VN,neon,232,1.26,248.5,1.33,77%,159.1,0.90,0.20,0.12,0.13,27%,14%,4/29,34,208,156,46,28,31,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
58496,kachoww,Kachoww,S2G,TR,neon|yoru|raze,390,1.25,272.1,1.34,76%,177.4,0.94,0.27,0.17,0.12,27%,10%,2/20,32,366,274,106,68,48,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
24895,jemkin,Jemkin,RRQ,RU,waylay|chamber|jett,232,1.25,241.4,1.38,74%,154.7,0.87,0.17,0.15,0.11,25%,31%,9/29,32,201,146,39,34,25,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
17332,jduh,jduh,GX.GC,TR,brimstone|omen|astra,315,1.25,223.8,1.34,79%,143.8,0.82,0.42,0.05,0.03,36%,11%,4/37,27,259,194,132,16,10,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
